Year,A.1.1.Termocentrale,A.1.2.Hidrocentrale,A.1.3 Të tjerë prodhues ¹,A.1.Prodhimi neto vendas,A.2.Importi bruto (energji në marrje),A.3.Eksporti bruto (energji në dhënie),A.Energji në dispozicion,B.1.Humbjet në rrjet,B.2.Përdorimi nga konsumatorët ,B.Konsumi i energjisë elektrike
2000,143589.0,4566281.0,0.0,4709870.0,1223898.0,221811.0,5711957.0,2479399.0,3232558.0,5711957.0
2001,136905.0,3522120.0,0.0,3659025.0,1819244.0,69336.0,5408933.0,2058358.0,3350575.0,5408933.0
2002,106712.0,3015693.0,0.0,3122405.0,2279078.0,52558.0,5348925.0,1886012.0,3462913.0,5348925.0
2003,81275.0,4748413.0,0.0,4829688.0,1241943.0,326151.0,5745480.0,2254525.0,3490955.0,5745480.0
2004,76001.0,5316438.0,0.0,5392439.0,868827.0,390307.0,5870959.0,2193886.0,3677073.0,5870959.0
2005,76987.0,5277257.0,0.0,5354244.0,1253484.0,729527.0,5878201.0,2404615.0,3473586.0,5878201.0
2006,92630.0,5356199.8,0.0,5448829.8,1242300.0,637234.0,6053895.8,2481174.1,3572722.0,6053896.1
2007,72380.0,2826326.0,0.0,2898706.0,2934515.0,106586.0,5726635.0,2085184.0,3641451.0,5726635.0
2008,0.0,3831014.0,0.0,3831014.0,2758600.0,293399.0,6296215.0,2139985.0,4156230.0,6296215.0
2009,0.0,5201014.0,0.0,5201014.0,1964480.0,536364.0,6629130.0,2328322.0,4300808.0,6629130.0
2010,0.0,7673728.3,0.0,7673728.3,1004571.0,1905549.0,6772750.3,2167199.5,4605551.0,6772750.5
2011,0.0,4036309.0,0.0,4036309.0,3474966.0,300544.0,7210731.0,2179157.0,5031574.0,7210731.0
2012,0.0,4724797.0,0.0,4724797.0,3230142.0,335535.0,7619404.0,3251311.9,4368092.2,7619404.0
2013,0.0,6959326.0,0.0,6959326.0,2322528.0,1424821.0,7857033.0,3305622.0,4551411.0,7857033.0
2014,0.0,4726246.0,0.0,4726246.0,3355987.0,288497.0,7793736.0,2783182.0,5010554.0,7793736.0
2015,0.0,5865671.5,0.0,5865671.5,2355358.3,955940.8,7265089.0,2195837.1,5069251.9,7265089.0
2016,0.0,7135913.8,0.0,7135913.8,1826752.8,1868605.4,7094061.1,1985901.0,5108160.1,7094061.1
2017,0.0,4524981.2,0.0,4524981.2,3403042.6,488414.8,7439609.0,1876138.3,5563470.7,7439609.0
2018,0.0,8552154.0,0.0,8552154.0,1771740.0,2685045.0,7638848.0,1783118.0,5855731.0,7638848.0
2019,0.0,5185732.0,22196.0,5207928.0,3176515.0,770480.0,7613964.0,1653465.0,5960499.0,7613964.0
2020,0.0,5280767.0,32266.0,5313032.0,3238631.0,963027.0,7588636.0,1630632.0,5958004.0,7588636.0
2021,0.0,8921947.4,40756.0,8962703.4,2252547.5,2800442.9,8414808.0,1784870.7,6629937.0,8414807.7
2022,0.0,6951387.1,51260.0,7002647.1,3043533.1,2122527.4,7923652.8,1657834.7,6265818.3,7923653.0
2023,0.0,8705910.0,89724.0,8795634.0,1921743.0,2841555.0,7875822.0,1654540.0,6221282.0,7875822.0
2024,0.0,7330077.1,506547.7,7836624.8,2668770.6,2334878.2,8170517.2,1614264.0,6556253.0,8170517.2
