Period,Forcat e armatosura,"Manaxherë, Ligjvënës, nëpunës të lartë të administratës shtetërore dhe drejtorë ekzekutivë",Nëpunësit,Punonjës të kualifikuar të bujqësisë pyjeve dhe peshkimit,Punonjës të montimit dhe përdorimit të makinerive dhe pajisjeve,Punonjës të shitjeve dhe të shërbimeve,Punëtorë (Profesione elementare),Specialistë me arsim të lartë (profesionistë),Teknikë dhe specialistë në zbatim,"Zejtarë, artizanë dhe profesione të lidhura me to"
2014-01-01,50809,88307,45142,26163,32394,32033,25893,62277,49981,29920
2014-04-01,51287,88100,44135,26496,32663,31962,26048,62777,49947,29522
2014-07-01,51733,85623,44123,26424,32463,32149,26143,63088,49560,29778
2014-10-01,52819,91413,46037,26306,33482,33109,26442,64943,52083,30173
2015-01-01,52714,90418,45838,27498,32276,35401,26553,63285,52002,31392
2015-04-01,53054,93163,45467,27573,32439,35661,27148,63840,51843,31635
2015-07-01,52897,90625,45424,27217,32449,35064,26806,63977,51582,30898
2015-10-01,55167,96666,47930,26562,33132,34902,27305,67424,53719,31185
2016-01-01,53368,93982,45977,26841,31401,34319,26674,64098,51406,30332
2016-04-01,53563,96513,46872,27728,31445,34473,26944,63906,51344,30531
2016-07-01,53797,95383,47335,28285,31668,34533,27090,63841,51499,30987
2016-10-01,55463,97838,51078,28104,33759,36011,28166,66616,54246,33913
2017-01-01,55029,91777,49051,28104,32467,35209,27467,63616,52453,32176
2017-04-01,58457,97165,50219,29918,33812,37021,28942,66561,54028,33085
2017-07-01,58318,93109,51133,30643,34379,37123,29311,66469,53824,33711
2017-10-01,60466,99371,53041,30816,35716,37924,30101,68471,55954,35340
2018-01-01,59613,96166,51082,30861,34653,37770,29910,66097,54650,33898
2018-04-01,59645,100035,51758,30932,35141,38077,30344,67491,55562,34516
2018-07-01,59087,97297,52981,31151,35439,37040,30407,68024,56168,34782
2018-10-01,59150,101886,56312,31164,36637,38235,31334,70032,59932,36438
2019-01-01,59379,96656,55213,32370,35781,39081,31409,68667,58923,35578
2019-04-01,63522,100049,55756,32462,36232,39736,31941,70706,59773,35958
2019-07-01,63802,97951,55624,32777,36381,38797,31757,71158,59236,36091
2019-10-01,64274,99166,57668,33040,37253,39733,32247,72350,60151,36831
2020-01-01,63448,94709,56550,33426,36315,40259,31814,70540,59175,36517
2020-04-01,63662,95987,58501,32934,36719,40951,31898,71024,59508,36733
2020-07-01,64041,93738,56929,32882,36622,39823,31874,71325,59830,36759
2020-10-01,64495,99259,60633,32753,37999,41186,32454,74172,61573,37346
2021-01-01,65705,96836,58762,35073,38995,42584,34295,75158,63031,38785
2021-04-01,65232,98823,58871,35580,39632,43108,34747,76375,63619,39522
2021-07-01,65287,95959,58539,36021,40241,43032,35097,76460,64007,39728
2021-10-01,70493,102304,62410,36691,42514,45157,36281,79476,67711,41602
2022-01-01,65303,102853,62406,37929,42760,44626,36852,78288,66377,41803
2022-04-01,65359,102156,63363,39832,45495,45751,38620,79925,67437,43810
2022-07-01,77362,100256,63544,40615,46253,46732,39402,82374,68749,44515
2022-10-01,78837,109465,69219,42915,49272,50279,41572,86542,72863,47130
2023-01-01,79568,104483,67326,42646,48958,49413,41387,85007,71331,47192
2023-04-01,86236,116627,71363,47413,52924,54678,46387,92566,77127,51460
2023-07-01,86454,116176,73021,47620,53223,54942,47029,93963,78481,51728
2023-10-01,87172,122097,76831,48689,55950,57887,48368,97520,82277,54000
2024-01-01,86330,118699,75083,48539,55366,56386,48131,95307,80515,54133
2024-04-01,86397,122465,77356,47684,56636,56929,48698,97548,82123,54886
2024-07-01,98163,122159,76790,47660,56980,59842,49257,104995,86379,55306
2024-10-01,98435,130859,84395,51093,61891,62610,53421,111331,92040,60817
